"Team","PPG","RPG","APG","FG","Opt_PPG","Opt_RPG","Opt_APG","Opt_FG","Seed","Divison","Wins","Loses","PPG_Dif","RPG_Dif","APG_Dif","FG_Diff","Round_Eliminated","Raw_Score"
"Kentucky","74.4","40.6","14.2","0.468","54.3","34.9","7.7","0.354","1","Midwest","38","1","20.100","5.700","6.500","0.114","5","28.993"
"Kansas","71.1","40.8","13.2","0.440","64.8","36.9","11.2","0.396","2","Midwest","27","9","6.300","3.900","2.000","0.044","2","16.469"
"Notre Dame","78.0","34.7","15.2","0.509","65.8","35.4","12.4","0.427","3","Midwest","32","6","12.200","-0.700","2.800","0.082","4","16.956"
"Maryland","69.1","37.8","10.7","0.440","63.4","36.5","11.0","0.395","4","Midwest","28","7","5.700","1.300","-0.300","0.045","2","10.569"
"West Virginia","72.6","40.0","14.1","0.408","66.8","36.2","11.6","0.469","5","Midwest","25","10","5.800","3.800","2.500","-0.061","3","13.468"
"Butler","69.0","40.5","11.4","0.433","61.0","33.7","11.0","0.415","6","Midwest","23","11","8.000","6.800","0.400","0.018","2","13.244"
"Wichita State","70.3","39.1","13.6","0.445","57.4","35.1","9.0","0.402","7","Midwest","30","5","12.900","4.000","4.600","0.043","3","16.549"
"Cincinnati","62.1","37.6","11.6","0.446","55.8","33.2","11.1","0.388","8","Midwest","23","11","6.300","4.400","0.500","0.058","2","8.802"
"Purdue","69.9","40.0","14.9","0.449","64.6","36.4","11.2","0.401","9","Midwest","21","13","5.300","3.600","3.700","0.048","1","9.950"
"Indiana","77.4","38.9","13.9","0.464","71.7","35.9","12.6","0.453","10","Midwest","20","14","5.700","3.000","1.300","0.011","1","7.222"
"Texas","67.4","42.4","13.0","0.433","60.3","35.9","10.4","0.368","11","Midwest","20","14","7.100","6.500","2.600","0.065","1","9.553"
"Buffalo","74.6","41.7","13.1","0.435","68.3","38.5","11.9","0.423","12","Midwest","23","10","6.300","3.200","1.200","0.012","1","5.932"
"Valparaiso","69.6","41.4","13.0","0.456","59.4","34.4","11.4","0.382","13","Midwest","28","6","10.200","7.000","1.600","0.074","1","8.915"
"Northeastern","68.5","35.8","14.3","0.486","65.1","30.4","12.5","0.448","14","Midwest","23","12","3.400","5.400","1.800","0.038","1","2.558"
"New Mexico St.","68.1","37.6","11.9","0.462","59.8","32.2","10.9","0.425","15","Midwest","23","11","8.300","5.400","1.000","0.037","1","3.737"
"Hampton","67.0","39.7","10.6","0.406","68.2","40.5","10.4","0.413","16","Midwest","17","18","-1.200","-0.800","0.200","-0.007","1","-5.821"
"Wisconsin","72.5","36.1","12.6","0.479","58.2","29.9","9.0","0.428","1","West","36","4","14.300","6.200","3.600","0.051","6","22.870"
"Arizona","76.6","39.0","13.9","0.488","59.7","31.5","9.7","0.398","2","West","34","4","16.900","7.500","4.200","0.090","4","25.228"
"Baylor","69.1","42.1","14.6","0.434","60.2","33.6","15.1","0.402","3","West","24","10","8.900","8.500","-0.500","0.032","1","18.296"
"North Carolina","77.7","44.1","17.4","0.476","68.8","36.6","12.3","0.398","4","West","26","12","8.900","7.500","5.100","0.078","3","20.946"
"Arkansas","77.4","38.6","16.1","0.445","70.1","39.1","12.4","0.428","5","West","27","9","7.300","-0.500","3.700","0.017","2","13.583"
"Xavier","73.3","37.2","16.1","0.475","67.4","33.5","13.1","0.435","6","West","23","14","5.900","3.700","3.000","0.040","3","12.798"
"VCU","72.5","38.4","12.7","0.419","65.8","40.1","13.0","0.434","7","West","26","10","6.700","-1.700","-0.300","-0.015","1","7.677"
"Oregon","75.4","39.1","14.1","0.463","70.8","38.3","11.9","0.422","8","West","26","10","4.600","0.800","2.200","0.041","2","8.238"
"Oklahoma State","67.5","35.1","11.4","0.440","62.8","37.2","11.1","0.404","9","West","18","14","4.700","-2.100","0.300","0.036","1","3.577"
"Ohio State","75.3","38.2","15.3","0.483","63.0","36.4","13.0","0.403","10","West","24","11","12.300","1.800","2.300","0.080","2","11.496"
"Mississippi","72.8","41.6","13.2","0.423","68.4","39.2","14.2","0.404","11","West","21","13","4.400","2.400","-1.000","0.019","1","4.384"
"Wofford","66.6","35.3","13.2","0.454","59.7","33.9","9.1","0.418","12","West","28","7","6.900","1.400","4.100","0.036","1","5.777"
"Harvard","64.2","36.5","12.8","0.433","57.6","34.6","10.7","0.404","13","West","22","8","6.600","1.900","2.100","0.029","1","3.916"
"Georgia State","71.4","34.5","13.7","0.480","62.4","36.3","12.7","0.388","14","West","25","10","9.000","-1.800","1.000","0.092","2","2.208"
"Texas Southern","68.3","38.2","10.7","0.445","68.2","37.9","12.0","0.445","15","West","22","13","0.100","0.300","-1.300","0.000","1","-4.620"
"Coastal Carolina","71.7","42.5","11.3","0.440","62.4","34.6","11.3","0.396","16","West","24","10","9.300","7.900","0.000","0.044","1","4.639"
"Villanova","76.5","37.2","15.8","0.470","60.9","36.8","11.9","0.406","1","East","33","3","15.600","0.400","3.900","0.064","2","22.663"
"Virginia","65.4","39.2","12.6","0.457","51.5","31.5","9.1","0.367","2","East","30","4","13.900","7.700","3.500","0.090","2","22.808"
"Oklahoma","71.5","40.7","12.3","0.435","62.7","39.7","11.2","0.386","3","East","24","11","8.800","1.000","1.100","0.049","3","15.070"
"Louisville","69.0","39.2","11.6","0.429","59.8","37.1","11.8","0.392","4","East","27","9","9.200","2.100","-0.200","0.037","4","13.587"
"UNI","65.2","33.1","11.8","0.479","54.6","30.9","9.5","0.395","5","East","31","4","10.600","2.200","2.300","0.084","2","13.567"
"Providence","69.7","40.1","13.9","0.438","65.5","35.2","12.1","0.421","6","East","22","12","4.200","4.900","1.800","0.017","1","11.573"
"Michigan State","71.1","40","16.6","0.465","63.6","35.5","10.5","0.396","7","East","27","12","7.500","4.500","6.100","0.069","5","15.344"
"NC State","70.1","41.6","11.5","0.436","65.8","38.2","11.8","0.403","8","East","22","14","4.300","3.400","-0.300","0.033","3","7.567"
"LSU","73.4","42.4","15.6","0.455","67.7","39.7","11.7","0.402","9","East","22","11","5.700","2.700","3.900","0.053","1","10.621"
"Georgia","68.2","41.3","12.5","0.432","64.4","37.5","10.6","0.389","10","East","21","12","3.800","3.800","1.900","0.043","1","6.769"
"Dayton","67.8","33.8","13.6","0.462","60.8","35.8","12.0","0.418","11","East","27","9","7.000","-2.000","1.600","0.044","2","4.049"
"Wyoming","61.5","33.2","14.3","0.461","56.4","33.2","10.0","0.403","12","East","25","10","5.100","0.000","4.300","0.058","1","4.152"
"UC Irvine","67.5","38.8","14.1","0.394","62.1","36.5","10.7","0.394","13","East","21","13","5.400","2.300","3.400","0.000","1","4.850"
"Albany","65.3","37.1","10.6","0.438","60.5","33.1","11.5","0.421","14","East","24","9","4.800","4.000","-0.900","0.017","1","0.633"
"Belmont","74.2","35.8","15.3","0.476","70.6","35.3","13.1","0.452","15","East","22","11","3.600","0.500","2.200","0.024","1","0.215"
"Lafayette","73.5","33.3","15.6","0.485","73.0","35.8","13.9","0.461","16","East","20","13","0.500","-2.500","1.700","0.024","1","-4.505"
"Duke","79.3","39.2","15.1","0.502","64.2","33.9","11.6","0.422","1","South","35","4","15.100","5.300","3.500","0.080","7","24.316"
"Gonzaga","78.7","41.4","16.3","0.520","61.7","34.2","9.7","0.390","2","South","35","3","17.000","7.200","6.600","0.130","4","27.576"
"Iowa State","77.8","38.6","16.1","0.476","69.0","38.1","14.2","0.416","3","South","25","9","8.800","0.500","1.900","0.060","1","15.992"
"Georgetown","70.9","37.5","12.9","0.456","65.2","35.5","11.1","0.407","4","South","22","11","5.700","2.000","1.800","0.049","2","12.500"
"Utah","71.3","36.9","14.0","0.482","57.1","33.2","8.8","0.384","5","South","26","9","14.200","3.700","5.200","0.098","3","19.200"
"SMU","69.1","39.2","15.4","0.475","59.8","32.7","12.4","0.381","6","South","27","7","9.300","6.500","3.000","0.094","1","16.159"
"Iowa","69.8","40.7","14.2","0.431","62.3","36.6","12.1","0.396","7","South","22","12","7.500","4.100","2.100","0.035","2","12.597"
"San Diego State","61.8","38.9","10.5","0.418","53.9","35.3","9.2","0.384","8","South","27","9","7.900","3.600","1.300","0.034","2","9.767"
"St. John’s","71.0","38.6","12.4","0.442","67.9","43.1","13.5","0.407","9","South","21","12","3.100","-4.500","-1.100","0.035","1","1.957"
"Davidson","79.0","39.1","17.1","0.467","69.4","38.8","12.6","0.443","10","South","24","8","9.600","0.300","4.500","0.024","1","11.085"
